e,n,d
5.0,15.0,0
5.0,15.0,1
5.0,15.0,2
5.0,15.0,3
5.0,15.0,4
5.0,15.0,5
5.0,15.0,6
5.0,15.0,7
5.0,15.0,8
5.0,15.0,9
5.0,15.0,10
5.0,15.0,11
5.0,15.0,12
5.0,15.0,13
5.0,15.0,14
5.0,15.0,15
5.0,15.0,16
5.0,15.0,17
5.0,15.0,18
5.0,15.0,19
5.0,15.0,20
5.0,15.0,21
5.0,15.0,22
5.0,15.0,23
5.0,15.0,24
5.0,15.0,25
5.0,15.0,26
5.0,15.0,27
5.0,15.0,28
5.0,15.0,29
5.0,15.0,30
5.0,15.0,31
5.0,15.0,32
5.0,15.0,33
5.0,15.0,34
5.0,15.0,35
5.0,15.0,36
5.0,15.0,37
5.0,15.0,38
5.0,15.0,39
5.0,15.0,40
5.0,15.0,41
5.0,15.0,42
5.0,15.0,43
5.0,15.0,44
5.0,15.0,45
5.0,15.0,46
5.0,15.0,47
5.0,15.0,48
5.0,15.0,49
5.0,15.0,50
5.0,15.0,51
5.0,15.0,52
5.0,15.0,53
5.0,15.0,54
5.0,15.0,55
5.0,15.0,56
5.0,15.0,57
5.0,15.0,58
5.0,15.0,59
5.0,15.0,60
5.0,15.0,61
5.0,15.0,62
5.0,15.0,63
5.0,15.0,64
5.0,15.0,65
5.0,15.0,66
5.0,15.0,67
5.0,15.0,68
5.0,15.0,69
5.0,15.0,70
5.0,15.0,71
5.0,15.0,72
5.0,15.0,73
5.0,15.0,74
5.0,15.0,75
5.0,15.0,76
5.0,15.0,77
5.0,15.0,78
5.0,15.0,79
5.0,15.0,80
5.0,15.0,81
5.0,15.0,82
5.0,15.0,83
5.0,15.0,84
5.0,15.0,85
5.0,15.0,86
5.0,15.0,87
5.0,15.0,88
5.0,15.0,89
5.0,15.0,90
5.0,15.0,91
5.0,15.0,92
5.0,15.0,93
5.0,15.0,94
5.0,15.0,95
5.0,15.0,96
5.0,15.0,97
5.0,15.0,98
5.0,15.0,99
5.0,15.0,100
5.0,15.0,101
5.0,15.0,102
5.0,15.0,103
5.0,15.0,104
5.0,15.0,105
5.0,15.0,106
5.0,15.0,107
5.0,15.0,108
5.0,15.0,109
5.0,15.0,110
5.0,15.0,111
5.0,15.0,112
5.0,15.0,113
5.0,15.0,114
5.0,15.0,115
5.0,15.0,116
5.0,15.0,117
5.0,15.0,118
5.0,15.0,119
5.0,15.0,120
5.0,15.0,121
5.0,15.0,122
5.0,15.0,123
5.0,15.0,124
5.0,15.0,125
5.0,15.0,126
5.0,15.0,127
5.0,15.0,128
5.0,15.0,129
5.0,15.0,130
5.0,15.0,131
5.0,15.0,132
5.0,15.0,133
5.0,15.0,134
5.0,15.0,135
5.0,15.0,136
5.0,15.0,137
5.0,15.0,138
5.0,15.0,139
5.0,15.0,140
5.0,15.0,141
5.0,15.0,142
5.0,15.0,143
5.0,15.0,144
5.0,15.0,145
5.0,15.0,146
5.0,15.0,147
5.0,15.0,148
5.0,15.0,149
5.0,15.0,150
5.0,15.0,151
5.0,15.0,152
5.0,15.0,153
5.0,15.0,154
5.0,15.0,155
5.0,15.0,156
5.0,15.0,157
5.0,15.0,158
5.0,15.0,159
5.0,15.0,160
5.0,15.0,161
5.0,15.0,162
5.0,15.0,163
5.0,15.0,164
5.0,15.0,165
5.0,15.0,166
5.0,15.0,167
5.0,15.0,168
5.0,15.0,169
5.0,15.0,170
5.0,15.0,171
5.0,15.0,172
5.0,15.0,173
5.0,15.0,174
5.0,15.0,175
5.0,15.0,176
5.0,15.0,177
5.0,15.0,178
5.0,15.0,179
5.0,15.0,180
5.0,15.0,181
5.0,15.0,182
5.0,15.0,183
5.0,15.0,184
5.0,15.0,185
5.0,15.0,186
5.0,15.0,187
5.0,15.0,188
5.0,15.0,189
5.0,15.0,190
5.0,15.0,191
5.0,15.0,192
5.0,15.0,193
5.0,15.0,194
5.0,15.0,195
5.0,15.0,196
5.0,15.0,197
5.0,15.0,198
5.0,15.0,199
5.0,15.0,200
5.0,15.0,201
5.0,15.0,202
5.0,15.0,203
5.0,15.0,204
5.0,15.0,205
5.0,15.0,206
5.0,15.0,207
5.0,15.0,208
5.0,15.0,209
5.0,15.0,210
5.0,15.0,211
5.0,15.0,212
5.0,15.0,213
5.0,15.0,214
5.0,15.0,215
5.0,15.0,216
5.0,15.0,217
5.0,15.0,218
5.0,15.0,219
5.0,15.0,220
5.0,15.0,221
5.0,15.0,222
5.0,15.0,223
5.0,15.0,224
5.0,15.0,225
5.0,15.0,226
5.0,15.0,227
5.0,15.0,228
5.0,15.0,229
5.0,15.0,230
5.0,15.0,231
5.0,15.0,232
5.0,15.0,233
5.0,15.0,234
5.0,15.0,235
5.0,15.0,236
5.0,15.0,237
5.0,15.0,238
5.0,15.0,239
5.0,15.0,240
5.0,15.0,241
5.0,15.0,242
5.0,15.0,243
5.0,15.0,244
5.0,15.0,245
5.0,15.0,246
5.0,15.0,247
5.0,15.0,248
5.0,15.0,249
5.0,15.0,250
5.0,15.0,251
5.0,15.0,252
5.0,15.0,253
5.0,15.0,254
5.0,15.0,255
5.0,15.0,256
5.0,15.0,257
5.0,15.0,258
5.0,15.0,259
5.0,15.0,260
5.0,15.0,261
5.0,15.0,262
5.0,15.0,263
5.0,15.0,264
5.0,15.0,265
5.0,15.0,266
5.0,15.0,267
5.0,15.0,268
5.0,15.0,269
5.0,15.0,270
5.0,15.0,271
5.0,15.0,272
5.0,15.0,273
5.0,15.0,274
5.0,15.0,275
5.0,15.0,276
5.0,15.0,277
5.0,15.0,278
5.0,15.0,279
5.0,15.0,280
5.0,15.0,281
5.0,15.0,282
5.0,15.0,283
5.0,15.0,284
5.0,15.0,285
5.0,15.0,286
5.0,15.0,287
5.0,15.0,288
5.0,15.0,289
5.0,15.0,290
5.0,15.0,291
5.0,15.0,292
5.0,15.0,293
5.0,15.0,294
5.0,15.0,295
5.0,15.0,296
5.0,15.0,297
5.0,15.0,298
5.0,15.0,299
5.0,15.0,300
5.0,15.0,301
5.0,15.0,302
5.0,15.0,303
5.0,15.0,304
5.0,15.0,305
5.0,15.0,306
5.0,15.0,307
5.0,15.0,308
5.0,15.0,309
5.0,15.0,310
5.0,15.0,311
5.0,15.0,312
5.0,15.0,313
5.0,15.0,314
5.0,15.0,315
5.0,15.0,316
5.0,15.0,317
5.0,15.0,318
5.0,15.0,319
5.0,15.0,320
5.0,15.0,321
5.0,15.0,322
5.0,15.0,323
5.0,15.0,324
